,flab-p,flab-m,flab-s,flab-t,fcap
hhd-0,10185.9492967801,6192.63287185264,1108.50558938702,67.3358339597799,1855.25459166387
hhd-1,13001.644936906,8647.52291106747,4331.05068026538,777.548774904945,4839.39302056398
hhd-2,10203.3031598939,11963.6223829317,8802.08387964936,1760.24120042865,7932.2472133752
hhd-3,11136.6441776775,14731.5025583196,15094.7459635953,1992.13603275967,12126.0250474585
hhd-4,10468.4076701047,18877.0148361992,20532.9882562825,5406.3617205712,18073.1601448752
hhd-5,12610.502670173,25723.2985275509,36322.7297318665,15187.1486451156,27432.0264336972
hhd-6,9574.27070175719,21631.3865318911,59893.9673460539,29253.0281030575,41840.7735973841
hhd-7,8440.90974508219,32086.4599090219,76815.3565421857,82515.6233987131,63058.700929075
hhd-8,6350.02233714762,27956.5131833441,116269.638056768,256476.181120613,101685.625417058
hhd-91,1696.77851778428,5322.87938576653,23326.1439638704,75581.126037059,34555.9890705203
hhd-92,631.841679071376,5758.45219466125,28920.3228518554,82131.1029327634,31341.2566744055
hhd-93,4935.51440362135,2549.65218034382,28630.0817877541,129734.816295556,46596.9760659961
hhd-94,1610.49134708302,3018.86402171995,25130.9486092349,174193.850016625,39776.8177641119
hhd-95,610.985419822902,766.507377940088,32710.9919707524,284398.369722837,89485.754029815
gov,-,-,-,-,88965.0
