,2022
Gov_wealth,181.73437449
Gov_PI,0.97667964381
Gov_income,177.49626415
K_price,0.89118861143
L_price,0.85846042838
farm_supply,88.497231637
farm_price,0.96139504107
K_farm_tax,0.053786507249
L_farm_tax,0.1357673156
fish_supply,90.584148617
fish_price,0.95503414222
K_fish_tax,0.03433932837
L_fish_tax,0.13083685681
min_supply,92.744298586
min_price,0.99185811676
K_min_tax,0.095973480926
L_min_tax,0.17072496805
fore_supply,76.425680865
fore_price,0.99854368303
K_fore_tax,0.10034163011
L_fore_tax,0.17833327632
oilext_supply,84.704279073
oilext_price,0.96327911193
K_oilext_tax,0.091469520517
L_oilext_tax,0.10762580627
smwork_supply,72.459417096
smwork_price,0.94216118532
K_smwork_tax,0.067692687943
L_smwork_tax,0.083648237112
mills_supply,73.193691277
mills_price,0.97496378613
K_mills_tax,0.099383988738
L_mills_tax,0.13015406879
fact_supply,78.034882529
fact_price,1.0126745959
K_fact_tax,0.15495248215
L_fact_tax,0.15308221529
foodpr_supply,73.656583296
foodpr_price,1.0293795221
K_foodpr_tax,0.15292312318
L_foodpr_tax,0.20132576235
oilref_supply,96.21610322
oilref_price,0.94260815898
K_oilref_tax,0.048202904931
L_oilref_tax,0.10615270008
retail_supply,87.906055364
retail_price,0.969674162
K_retail_tax,0.096940757821
L_retail_tax,0.119114985
itser_supply,76.01986474
itser_price,0.96544751515
K_itser_tax,0.077864272592
L_itser_tax,0.1297539183
tourism_supply,75.971799608
tourism_price,0.99299384229
K_tourism_tax,0.096156949821
L_tourism_tax,0.17030939918
restau_supply,79.526350546
restau_price,0.97622094594
K_restau_tax,0.10742315123
L_restau_tax,0.12280296859
transp_supply,77.052764594
transp_price,0.97313467652
K_transp_tax,0.11444989411
L_transp_tax,0.097188140628
commun_supply,89.788786951
commun_price,0.95965816971
K_commun_tax,0.088641267782
L_commun_tax,0.10231255623
bank_supply,92.038569182
bank_price,1.0025297546
K_bank_tax,0.15811937234
L_bank_tax,0.085957383875
insur_supply,88.324367731
insur_price,0.953159944
K_insur_tax,0.090178717874
L_insur_tax,0.064589318611
pension_supply,76.944215646
pension_price,0.95102143064
K_pension_tax,0.080846537573
L_pension_tax,0.089127881719
foodser_supply,74.919350721
foodser_price,1.0245809199
K_foodser_tax,0.14063419117
L_foodser_tax,0.20139141799
post_supply,69.664610145
post_price,1.045153569
K_post_tax,0.20742307347
L_post_tax,0.16543039609
HOU_0-30_Wealth,282.99878349
HOU_0-30_CPI,0.9799532998
HOU_0-30_Income,277.32559173
HOU_30-60_Wealth,344.99811265
HOU_30-60_CPI,0.98087396653
HOU_30-60_Income,338.3996672
HOU_60-90_Wealth,316.39782276
HOU_60-90_CPI,0.97923025431
HOU_60-90_Income,309.82632045
HOU_90-95_Wealth,243.8823678
HOU_90-95_CPI,0.97857518876
HOU_90-95_Income,238.6572341
HOU_95-100_Wealth,343.96266942
HOU_95-100_CPI,0.97980185978
HOU_95-100_Income,337.01526319
